naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
"Whatever happened to the young, young lovers?",8,2023,English,355702,3855,27430,8241,1322741,42,42,georgia_sk
The Source of Grief,2,2019,English,14938,672,27589,6490,217072,2,2,withthekeyisking
Teach Me How to Forget,3,2023,English,109646,2265,9344,3826,384109,20,20,scullymurphy
All Our Secrets Laid Bare,2,2014,English,149549,3800,50970,15876,1409658,16,16,firethesound_HP_archive
Flutterflies,3,2017,English,14617,273,13015,2071,137329,1,1,jilliancares
The Serpent That Devours Us,2,2022,English,40212,663,12367,3328,131729,13,13,Maeglin_Yedi
Dwelling on Dreams,9,2021,English,135588,760,8762,3013,223809,18,18,The_Sinking_Ship
Beholden,6,2024,English,123754,2674,9003,2653,206061,10,10,Faith Wood (faithwood)
A Brother to Basilisks,8,2020,English,613877,7030,22698,6188,1164716,155,155,Lomonaaeren
Temptation on the Warfront,11,2015,English,180305,3055,32380,10062,1161103,31,31,alizarincrims0n
IDK My BFF Hermione?,8,2011,English,19110,256,8926,1697,223221,1,1,lettered
Of a Linear Circle - Part I,7,2017,English,107225,1659,8795,1491,270325,16,16,flamethrower
take a deep breath (and let it go),12,2016,English,28600,560,9499,2056,139212,10,10,lincesque
Draco Malfoy and the Heir of Slytherin,7,2020,English,94423,2384,28098,1819,534840,17,17,starbrigid
Then Comes a Mist and a Weeping Rain,8,2011,English,21139,1313,76335,14320,928244,1,1,Faith Wood (faithwood)
Sealed with a Kiss,1,2012,English,46434,282,16147,3619,299072,1,1,Faith Wood (faithwood)
(The Piece) I was Missing All Along,12,2014,English,30778,402,8170,1982,134547,1,1,lauren3210
Harry Potter and the Monster of Slytherin,12,2017,English,101251,654,10935,884,237086,10,10,orphan_account
All the Young Dudes - Sirius's Perspective,4,2022,English,628178,13477,42225,7270,2840946,188,188,Rollercoasterwords
Dear Your Holiness,12,2021,English,142264,2704,13875,5229,497767,12,12,MollyMaryMarie
How to Interrupt a Monologue: Nico di Angelo Style,4,2018,English,2561,99,8124,1105,65348,1,1,Tempest_Raining
Meet You At The Bottom,12,2015,English,7028,105,12421,1599,174004,1,1,Remy_Writes5
The Evans Boy,7,2024,English,670152,12449,12391,2645,666737,173,173,lonibal
