naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
There's No I In Team,7,2016,English,13389,239,8552,1593,109832,1,1,JulietsEmoPhase
Natural Selection,8,2022,English,35765,712,10635,1823,173837,11,11,Lomonaaeren
Imago,8,2022,English,47963,899,10597,1266,167722,15,15,Lomonaaeren
Willing,5,2018,English,486471,1528,8407,2514,486050,120,120,DebsTheSlytherinSnapeFan
No more lies (To Victory),1,2025,English,153470,1443,9982,3175,312804,20,ni podatka,darkest_ambition
You Get What You Give,6,2019,English,459514,2423,8269,2888,344046,53,ni podatka,Watermelonsmellinfellon
Lucifer,12,2015,English,11165,179,19693,2961,246789,1,1,leontina (Leontina)
Another Mask Behind You,12,2014,English,116557,1033,13393,3819,343486,4,4,lettered
An Inconvenient Path,12,2022,English,148498,3430,11938,3153,403341,58,58,yletylyf
Hard To Find,12,2014,English,12820,180,8764,1787,107441,6,6,accioromulus
Chronological Displacement,2,2022,English,89163,1032,11092,2695,301174,21,21,bookinit
"goodnight hero, goodnight prey",5,2025,English,86561,1160,9114,2319,271306,20,25,toxikgato
To Build a Home,11,2018,English,43390,1786,11430,2520,178807,18,22,BeanieBaby
Falling to You,3,2019,English,5537,460,8552,898,85353,2,2,a_dale
The Light More Beautiful,12,2014,English,81255,879,18166,5538,439503,4,4,firethesound_HP_archive
The Onyx in Radiance,3,2023,English,116679,3093,20837,4667,545736,36,36,Lomonaaeren
Safeguard,12,2015,English,42402,1083,10826,3241,183478,5,ni podatka,esama
Beyond the Breaking Point,9,2016,English,57392,1027,9846,3316,165019,8,ni podatka,FalconLux
to leap and love the fall,11,2019,English,6685,235,8543,932,97491,1,1,stranglerfig
The Standard You Walk Past,3,2015,English,46202,4134,66485,12767,1205152,14,14,bafflinghaze
The Standard,4,2025,English,158156,1003,8943,2117,350643,19,ni podatka,cozymonster
Vellum Voices,7,2018,English,16427,434,15854,2483,169353,3,3,Lomonaaeren
Baby In A Box,12,2012,English,10071,218,8528,1714,77531,2,2,Sita_Z
Leon Potter,11,2019,English,9229,211,12321,2217,104087,2,2,Lomonaaeren
Sisyphus,1,2014,English,5607,285,8910,2043,133154,1,1,esama
The Consequences of A Binding Ritual,9,2016,English,171023,3575,11432,3076,404792,33,ni podatka,teecup_angel
Harry Potter in the Claw of the Raven,11,2015,English,55894,602,15542,2432,369282,10,10,BakenandEggs
The Blacks,8,2025,English,56257,1945,10885,3212,257124,21,ni podatka,WanderingScout
Pocket Full Of Starlight (Never Let It Fade Away),8,2012,English,46315,280,9325,2631,142166,1,1,Femme (femmequixotic)
Living Well,11,2021,English,39380,824,20445,4809,310450,8,8,Lomonaaeren
The Nightmare Club,12,2018,English,85072,1389,11220,3173,217473,16,16,Elle Gray (Elle_Gray)
Little White,7,2017,English,1144,159,8635,880,48251,1,1,DorthyAnn
Secrets,6,2006,English,395365,1689,18608,7347,956655,62,62,Vorabiza (Biza)
You Look the Way I Feel,6,2020,English,108693,1092,15317,3845,419993,32,32,yourdifferentoctober
Two Words in Green Ink,12,2023,English,240368,1861,10242,3012,393806,41,41,fluorescencx
harry.exe has stopped working,2,2023,English,40788,1500,9550,2401,219505,31,31,orphan_account
Searching For Something You Can't Reach,5,2023,English,61674,1083,9339,3170,145750,17,17,enoby_w
Something I Don't Want to Stop,6,2013,English,16228,140,9793,1667,187585,1,1,lq_traintracks (lumosed_quill)
To Make It Better,1,2025,English,181863,2458,11237,3723,444702,32,ni podatka,izziecalloway
Onyx and Silver,12,2021,English,4493,246,13325,1581,150803,1,1,Lomonaaeren
The Spellmaker,1,2024,English,205855,3019,20738,7355,610543,30,ni podatka,SonnyGietzel
Vestiges of Normalcy,12,2020,English,94320,1158,12074,4030,388901,18,18,orphan_account
Good Company,10,2012,English,8223,165,14453,2282,118267,1,1,Greenflares
Harry Potter and the Peanut Gallery,1,2022,English,74325,2303,11903,1651,234836,28,ni podatka,shadowscribe
The Pure and Simple Truth,3,2012,English,65482,979,15174,5200,290826,9,9,lettered
What He Grows To Be,8,2022,English,266516,4381,24077,6509,794281,10,10,Severus_divides_into_H
